id_match,home_team,away_team,home_score,away_score,home_score_total,away_score_total,winner,year,date,round,match_attendance
78989,France,Greece,0.0,1.0,0.0,1.0,Greece,2004,2004-06-25,QUARTER_FINALS,45390.0
78988,Portugal,England,1.0,1.0,2.0,2.0,Portugal,2004,2004-06-24,QUARTER_FINALS,62564.0
73759,Germany,Czechia,1.0,2.0,1.0,2.0,Czechia,2004,2004-06-23,GROUP_STANDINGS,46849.0
73758,Netherlands,Latvia,3.0,0.0,3.0,0.0,Netherlands,2004,2004-06-23,GROUP_STANDINGS,27904.0
73753,Denmark,Sweden,2.0,2.0,2.0,2.0,,2004,2004-06-22,GROUP_STANDINGS,26115.0
73752,Italy,Bulgaria,2.0,1.0,2.0,1.0,Italy,2004,2004-06-22,GROUP_STANDINGS,16002.0
73917,Croatia,England,2.0,4.0,2.0,4.0,England,2004,2004-06-21,GROUP_STANDINGS,57047.0
73916,Switzerland,France,1.0,3.0,1.0,3.0,France,2004,2004-06-21,GROUP_STANDINGS,28111.0
73741,Russia,Greece,2.0,1.0,2.0,1.0,Russia,2004,2004-06-20,GROUP_STANDINGS,24347.0
73740,Spain,Portugal,0.0,1.0,0.0,1.0,Portugal,2004,2004-06-20,GROUP_STANDINGS,47491.0
73757,Netherlands,Czechia,2.0,3.0,2.0,3.0,Czechia,2004,2004-06-19,GROUP_STANDINGS,29935.0
73756,Latvia,Germany,0.0,0.0,0.0,0.0,,2004,2004-06-19,GROUP_STANDINGS,22344.0
73751,Italy,Sweden,1.0,1.0,1.0,1.0,,2004,2004-06-18,GROUP_STANDINGS,44926.0
73750,Bulgaria,Denmark,0.0,2.0,0.0,2.0,Denmark,2004,2004-06-18,GROUP_STANDINGS,24131.0
73745,Croatia,France,2.0,2.0,2.0,2.0,,2004,2004-06-17,GROUP_STANDINGS,29160.0
73744,England,Switzerland,3.0,0.0,3.0,0.0,England,2004,2004-06-17,GROUP_STANDINGS,28214.0
73739,Russia,Portugal,0.0,2.0,0.0,2.0,Portugal,2004,2004-06-16,GROUP_STANDINGS,59273.0
73738,Greece,Spain,1.0,1.0,1.0,1.0,,2004,2004-06-16,GROUP_STANDINGS,25444.0
73755,Germany,Netherlands,1.0,1.0,1.0,1.0,,2004,2004-06-15,GROUP_STANDINGS,48197.0
73754,Czechia,Latvia,2.0,1.0,2.0,1.0,Czechia,2004,2004-06-15,GROUP_STANDINGS,21744.0
73749,Sweden,Bulgaria,5.0,0.0,5.0,0.0,Sweden,2004,2004-06-14,GROUP_STANDINGS,31652.0
73748,Denmark,Italy,0.0,0.0,0.0,0.0,,2004,2004-06-14,GROUP_STANDINGS,19595.0
73743,France,England,2.0,1.0,2.0,1.0,France,2004,2004-06-13,GROUP_STANDINGS,62487.0
73742,Switzerland,Croatia,0.0,0.0,0.0,0.0,,2004,2004-06-13,GROUP_STANDINGS,24090.0
73737,Spain,Russia,1.0,0.0,1.0,0.0,Spain,2004,2004-06-12,GROUP_STANDINGS,28182.0
73736,Portugal,Greece,1.0,2.0,1.0,2.0,Greece,2004,2004-06-12,GROUP_STANDINGS,48761.0
301696,Germany,Spain,0.0,1.0,0.0,1.0,Spain,2008,2008-06-29,FINAL,51428.0
301698,Russia,Spain,0.0,3.0,0.0,3.0,Spain,2008,2008-06-26,SEMIFINAL,51428.0
301697,Germany,Türkiye,3.0,2.0,3.0,2.0,Germany,2008,2008-06-25,SEMIFINAL,39374.0
301702,Spain,Italy,0.0,0.0,0.0,0.0,Spain,2008,2008-06-22,QUARTER_FINALS,51178.0
301701,Netherlands,Russia,1.0,1.0,1.0,3.0,Russia,2008,2008-06-21,QUARTER_FINALS,38374.0
301700,Croatia,Türkiye,0.0,0.0,1.0,1.0,Türkiye,2008,2008-06-20,QUARTER_FINALS,51428.0
301699,Portugal,Germany,2.0,3.0,2.0,3.0,Germany,2008,2008-06-19,QUARTER_FINALS,39374.0
300705,Russia,Sweden,2.0,0.0,2.0,0.0,Russia,2008,2008-06-18,GROUP_STANDINGS,30772.0
300704,Greece,Spain,1.0,2.0,1.0,2.0,Spain,2008,2008-06-18,GROUP_STANDINGS,30883.0
300703,France,Italy,0.0,2.0,0.0,2.0,Italy,2008,2008-06-17,GROUP_STANDINGS,30585.0
300702,Netherlands,Romania,2.0,0.0,2.0,0.0,Netherlands,2008,2008-06-17,GROUP_STANDINGS,30777.0
300700,Austria,Germany,0.0,1.0,0.0,1.0,Germany,2008,2008-06-16,GROUP_STANDINGS,51428.0
300701,Poland,Croatia,0.0,1.0,0.0,1.0,Croatia,2008,2008-06-16,GROUP_STANDINGS,30461.0
300699,Türkiye,Czechia,3.0,2.0,3.0,2.0,Türkiye,2008,2008-06-15,GROUP_STANDINGS,29016.0
300698,Switzerland,Portugal,2.0,0.0,2.0,0.0,Switzerland,2008,2008-06-15,GROUP_STANDINGS,39730.0
300696,Greece,Russia,0.0,1.0,0.0,1.0,Russia,2008,2008-06-14,GROUP_STANDINGS,31063.0
300697,Sweden,Spain,1.0,2.0,1.0,2.0,Spain,2008,2008-06-14,GROUP_STANDINGS,30772.0
300694,Netherlands,France,4.0,1.0,4.0,1.0,Netherlands,2008,2008-06-13,GROUP_STANDINGS,30777.0
300695,Italy,Romania,1.0,1.0,1.0,1.0,,2008,2008-06-13,GROUP_STANDINGS,30585.0
300692,Austria,Poland,1.0,1.0,1.0,1.0,,2008,2008-06-12,GROUP_STANDINGS,51428.0
300693,Croatia,Germany,2.0,1.0,2.0,1.0,Croatia,2008,2008-06-12,GROUP_STANDINGS,30461.0
300690,Switzerland,Türkiye,1.0,2.0,1.0,2.0,Türkiye,2008,2008-06-11,GROUP_STANDINGS,39730.0
300691,Czechia,Portugal,1.0,3.0,1.0,3.0,Portugal,2008,2008-06-11,GROUP_STANDINGS,29016.0
300688,Greece,Sweden,0.0,2.0,0.0,2.0,Sweden,2008,2008-06-10,GROUP_STANDINGS,31063.0
300689,Spain,Russia,4.0,1.0,4.0,1.0,Spain,2008,2008-06-10,GROUP_STANDINGS,30772.0
300686,Netherlands,Italy,3.0,0.0,3.0,0.0,Netherlands,2008,2008-06-09,GROUP_STANDINGS,30777.0
300687,Romania,France,0.0,0.0,0.0,0.0,,2008,2008-06-09,GROUP_STANDINGS,30585.0
300685,Germany,Poland,2.0,0.0,2.0,0.0,Germany,2008,2008-06-08,GROUP_STANDINGS,30000.0
300684,Austria,Croatia,0.0,1.0,0.0,1.0,Croatia,2008,2008-06-08,GROUP_STANDINGS,51428.0
300683,Portugal,Türkiye,2.0,0.0,2.0,0.0,Portugal,2008,2008-06-07,GROUP_STANDINGS,29106.0
300682,Switzerland,Czechia,0.0,1.0,0.0,1.0,Czechia,2008,2008-06-07,GROUP_STANDINGS,39730.0
2003351,Spain,Italy,4.0,0.0,4.0,0.0,Spain,2012,2012-07-01,FINAL,63170.0
2003379,Germany,Italy,1.0,2.0,1.0,2.0,Italy,2012,2012-06-28,SEMIFINAL,55540.0
2003378,Portugal,Spain,0.0,0.0,0.0,0.0,Spain,2012,2012-06-27,SEMIFINAL,48000.0
2003346,England,Italy,0.0,0.0,0.0,0.0,Italy,2012,2012-06-24,QUARTER_FINALS,64340.0
2003345,Spain,France,2.0,0.0,2.0,0.0,Spain,2012,2012-06-23,QUARTER_FINALS,47000.0
2003344,Germany,Greece,4.0,2.0,4.0,2.0,Germany,2012,2012-06-22,QUARTER_FINALS,38751.0
2003343,Czechia,Portugal,0.0,1.0,0.0,1.0,Portugal,2012,2012-06-21,QUARTER_FINALS,55590.0
2003341,Sweden,France,2.0,0.0,2.0,0.0,Sweden,2012,2012-06-19,GROUP_STANDINGS,63010.0
2003342,England,Ukraine,1.0,0.0,1.0,0.0,England,2012,2012-06-19,GROUP_STANDINGS,48700.0
2003340,Italy,Republic of Ireland,2.0,0.0,2.0,0.0,Italy,2012,2012-06-18,GROUP_STANDINGS,38794.0
2003339,Croatia,Spain,0.0,1.0,0.0,1.0,Spain,2012,2012-06-18,GROUP_STANDINGS,39076.0
2003338,Denmark,Germany,1.0,2.0,1.0,2.0,Germany,2012,2012-06-17,GROUP_STANDINGS,32990.0
2003337,Portugal,Netherlands,2.0,1.0,2.0,1.0,Portugal,2012,2012-06-17,GROUP_STANDINGS,37445.0
2003335,Greece,Russia,1.0,0.0,1.0,0.0,Greece,2012,2012-06-16,GROUP_STANDINGS,55614.0
2003336,Czechia,Poland,1.0,0.0,1.0,0.0,Czechia,2012,2012-06-16,GROUP_STANDINGS,41000.0
2003333,Sweden,England,2.0,3.0,2.0,3.0,England,2012,2012-06-15,GROUP_STANDINGS,64640.0
2003334,Ukraine,France,0.0,2.0,0.0,2.0,France,2012,2012-06-15,GROUP_STANDINGS,48000.0
2003332,Spain,Republic of Ireland,4.0,0.0,4.0,0.0,Spain,2012,2012-06-14,GROUP_STANDINGS,39150.0
2003331,Italy,Croatia,1.0,1.0,1.0,1.0,,2012,2012-06-14,GROUP_STANDINGS,37096.0
2003329,Netherlands,Germany,1.0,2.0,1.0,2.0,Germany,2012,2012-06-13,GROUP_STANDINGS,37750.0
2003330,Denmark,Portugal,2.0,3.0,2.0,3.0,Portugal,2012,2012-06-13,GROUP_STANDINGS,31840.0
2003327,Poland,Russia,1.0,1.0,1.0,1.0,,2012,2012-06-12,GROUP_STANDINGS,55920.0
2003328,Greece,Czechia,1.0,2.0,1.0,2.0,Czechia,2012,2012-06-12,GROUP_STANDINGS,41105.0
2003325,Ukraine,Sweden,2.0,1.0,2.0,1.0,Ukraine,2012,2012-06-11,GROUP_STANDINGS,64290.0
2003326,France,England,1.0,1.0,1.0,1.0,,2012,2012-06-11,GROUP_STANDINGS,47400.0
2003324,Republic of Ireland,Croatia,1.0,3.0,1.0,3.0,Croatia,2012,2012-06-10,GROUP_STANDINGS,39550.0
2003323,Spain,Italy,1.0,1.0,1.0,1.0,,2012,2012-06-10,GROUP_STANDINGS,38869.0
2003322,Germany,Portugal,1.0,0.0,1.0,0.0,Germany,2012,2012-06-09,GROUP_STANDINGS,32990.0
2003321,Netherlands,Denmark,0.0,1.0,0.0,1.0,Denmark,2012,2012-06-09,GROUP_STANDINGS,35923.0
2003320,Russia,Czechia,4.0,1.0,4.0,1.0,Russia,2012,2012-06-08,GROUP_STANDINGS,41000.0
2003319,Poland,Greece,1.0,1.0,1.0,1.0,,2012,2012-06-08,GROUP_STANDINGS,56070.0
2017907,Portugal,France,0.0,0.0,1.0,0.0,Portugal,2016,2016-07-10,FINAL,75868.0
2017906,Germany,France,0.0,2.0,0.0,2.0,France,2016,2016-07-07,SEMIFINAL,64078.0
